bloqueo,entropia,msi,bfr,rutas,pathconsec,entropiauso,porcuso
0,0.093,0.465,0.0,1,350.324,0.0,0.002
0,0.186,1.116,0.0,2,348.783,0.0,0.004
0,0.256,1.186,0.0,3,348.427,0.0,0.004
0,0.349,1.372,0.0,4,347.942,0.0,0.005
0,0.488,1.512,0.0,5,347.424,0.0,0.006
0,0.535,1.814,0.0,6,341.249,0.0,0.006
0,0.581,2.349,0.0,7,334.408,0.0,0.008
0,0.674,2.674,0.001,8,325.372,0.035,0.009
0,0.744,2.674,0.001,9,325.276,0.045,0.009
0,0.744,2.86,0.001,10,325.021,0.06,0.009
0,0.791,3.395,0.001,11,318.789,0.094,0.01
0,0.837,4.047,0.001,12,310.765,0.195,0.012
0,0.837,4.326,0.001,13,310.388,0.204,0.013
0,0.837,4.349,0.001,14,310.339,0.204,0.013
0,0.977,5.047,0.002,15,307.407,0.204,0.014
0,0.977,5.14,0.002,16,309.74,0.197,0.014
0,1.023,5.767,0.003,17,308.145,0.207,0.015
0,1.023,5.814,0.003,18,316.056,0.222,0.016
0,1.023,6.233,0.003,19,315.288,0.236,0.017
0,1.163,7.233,0.004,20,303.203,0.332,0.019
0,1.209,7.674,0.005,21,297.098,0.383,0.02
0,1.256,8.0,0.005,22,295.512,0.389,0.02
0,1.256,7.907,0.005,22,291.146,0.465,0.02
0,1.349,8.93,0.006,23,279.105,0.651,0.021
0,1.395,9.349,0.007,24,274.742,0.655,0.022
0,1.488,10.023,0.008,25,269.875,0.779,0.023
0,1.488,10.07,0.008,26,269.78,0.792,0.023
0,1.488,10.233,0.008,27,269.343,0.792,0.024
0,1.628,11.651,0.011,28,259.234,0.941,0.025
0,1.674,11.884,0.012,29,255.071,0.959,0.025
0,1.628,12.07,0.011,30,258.336,1.018,0.026
0,1.674,12.535,0.011,31,256.104,1.175,0.027
0,1.767,13.116,0.012,32,246.276,1.413,0.029
0,1.907,14.326,0.013,33,235.251,1.575,0.03
0,2.0,14.628,0.014,34,232.209,1.694,0.031
0,2.14,15.372,0.015,35,227.565,1.956,0.032
0,2.279,16.256,0.016,36,213.265,2.208,0.033
0,2.512,16.698,0.017,37,195.38,2.553,0.034
0,2.605,16.814,0.017,38,189.962,2.723,0.034
0,2.558,16.814,0.016,39,196.441,2.703,0.035
0,2.837,19.442,0.022,39,182.977,3.455,0.037
0,2.837,19.488,0.022,40,182.88,3.486,0.037
0,2.837,19.581,0.022,41,182.787,3.486,0.037
0,3.023,21.07,0.024,42,174.256,3.848,0.039
0,3.023,21.14,0.024,43,174.209,3.879,0.04
0,3.023,21.233,0.024,44,174.129,3.896,0.04
0,3.023,21.349,0.024,45,174.091,3.911,0.04
0,3.023,21.674,0.024,46,173.313,4.142,0.041
0,3.023,21.814,0.024,47,173.224,4.173,0.042
0,3.163,22.884,0.025,48,168.476,4.856,0.044
0,3.256,22.884,0.026,48,168.183,4.89,0.043
0,3.256,22.953,0.026,49,168.128,4.89,0.043
0,3.395,24.419,0.028,50,163.731,5.303,0.045
0,3.395,24.605,0.028,51,163.572,5.414,0.046
0,3.395,24.744,0.028,52,158.116,5.664,0.047
0,3.535,26.419,0.03,53,155.964,6.296,0.049
0,3.628,27.023,0.031,54,152.679,6.577,0.051
0,3.628,27.023,0.03,55,152.655,6.577,0.051
0,3.767,27.372,0.032,55,151.01,6.801,0.051
0,3.767,27.372,0.031,56,150.902,6.956,0.051
0,3.814,28.047,0.032,57,150.006,7.387,0.053
0,3.767,27.93,0.033,56,154.36,7.366,0.051
0,3.953,32.349,0.043,57,150.142,7.854,0.054
0,3.953,32.349,0.043,58,150.142,7.854,0.054
0,3.977,32.349,0.043,59,150.131,7.92,0.054
0,3.977,32.349,0.043,60,150.737,7.998,0.054
0,3.977,32.442,0.043,61,150.686,8.02,0.054
0,3.907,31.791,0.044,60,152.3,7.057,0.051
0,4.0,33.884,0.048,61,145.817,7.835,0.053
0,4.047,34.256,0.049,62,145.566,7.94,0.054
0,4.047,34.256,0.048,63,145.009,8.153,0.055
0,4.047,34.535,0.048,64,144.885,8.173,0.055
0,4.047,34.605,0.048,65,144.857,8.218,0.055
0,4.093,35.349,0.049,66,144.318,8.343,0.057
0,4.14,35.698,0.05,67,139.752,8.801,0.057
0,4.233,36.233,0.051,67,136.211,9.199,0.058
0,4.233,36.302,0.051,68,136.165,9.199,0.058
0,4.372,38.814,0.057,69,132.228,9.592,0.059
0,4.465,39.395,0.059,70,124.617,9.783,0.06
0,4.465,39.395,0.058,71,124.58,9.807,0.06
0,4.512,39.395,0.058,72,124.791,9.985,0.06
0,4.651,39.581,0.06,70,118.692,10.291,0.059
0,4.651,39.581,0.06,71,118.663,10.316,0.059
0,4.744,39.744,0.06,72,117.734,10.506,0.059
0,4.791,40.163,0.06,73,117.323,10.629,0.06
0,4.791,40.372,0.061,74,117.237,10.68,0.061
0,4.884,40.907,0.062,74,115.923,10.774,0.061
0,4.837,40.907,0.062,75,117.446,10.691,0.061
0,4.791,40.907,0.061,76,119.008,10.613,0.062
0,4.837,41.419,0.062,77,117.381,10.912,0.062
0,4.837,41.558,0.061,78,117.205,11.092,0.064
0,4.837,41.558,0.061,79,117.159,11.143,0.064
0,4.93,42.442,0.062,80,116.312,11.744,0.066
0,4.977,43.488,0.064,81,111.905,12.506,0.067
0,5.023,44.14,0.063,82,109.99,13.383,0.07
0,5.023,44.14,0.063,83,109.952,13.41,0.07
0,5.023,44.86,0.064,84,108.993,13.642,0.071
0,5.023,44.86,0.064,85,108.952,13.689,0.071
0,5.023,45.047,0.064,86,108.891,13.689,0.072
0,5.023,45.047,0.063,87,108.809,13.848,0.072
0,5.047,45.047,0.063,88,108.791,14.0,0.072
0,5.093,45.047,0.063,89,107.899,14.275,0.073
0,5.093,45.047,0.062,90,107.872,14.327,0.073
0,5.047,45.047,0.062,91,108.184,14.277,0.073
0,5.047,45.163,0.062,92,108.106,14.357,0.073
0,5.186,45.791,0.062,93,106.365,15.47,0.075
0,5.186,46.163,0.062,94,106.236,15.693,0.076
0,5.419,47.0,0.067,92,103.5,15.52,0.074
0,5.419,47.047,0.067,93,103.478,15.52,0.074
0,5.326,47.163,0.068,92,104.403,14.77,0.073
0,5.372,47.163,0.068,93,103.481,15.257,0.074
0,5.419,47.698,0.068,94,101.633,15.872,0.075
0,5.512,48.651,0.07,95,100.82,16.634,0.076
0,5.512,48.651,0.07,96,100.749,16.779,0.077
0,5.558,49.744,0.072,97,99.708,17.257,0.078
0,5.651,49.744,0.071,98,98.801,17.666,0.078
0,5.837,51.977,0.076,98,95.481,18.896,0.08
0,5.884,52.953,0.078,99,95.062,19.381,0.082
0,5.93,54.488,0.081,100,94.119,19.562,0.083
0,5.93,54.512,0.081,101,94.099,19.562,0.083
0,6.07,56.256,0.084,102,93.021,20.859,0.087
0,6.116,56.558,0.085,102,92.489,20.699,0.087
0,6.256,57.558,0.087,103,89.279,21.431,0.087
0,6.302,57.558,0.086,104,88.818,21.559,0.088
0,6.302,57.558,0.086,105,88.752,21.559,0.089
0,6.349,59.419,0.089,106,88.228,22.216,0.091
0,6.349,60.116,0.09,107,87.839,22.65,0.092
0,6.535,62.698,0.096,108,84.364,23.579,0.094
0,6.535,62.698,0.095,109,84.306,23.886,0.095
0,6.581,62.698,0.095,110,84.254,23.905,0.095
0,6.674,62.884,0.095,110,83.406,24.625,0.096
0,6.721,63.186,0.096,111,79.106,24.656,0.096
0,6.721,63.512,0.096,112,79.018,24.656,0.097
0,6.814,63.512,0.095,113,78.352,25.324,0.098
0,6.814,63.884,0.095,114,78.135,25.647,0.099
0,6.721,63.884,0.095,115,78.591,25.571,0.099
0,6.721,64.302,0.095,116,78.482,25.981,0.1
0,6.814,67.093,0.102,117,77.607,27.239,0.102
0,6.814,67.372,0.102,118,76.528,27.506,0.103
0,6.814,67.372,0.101,119,76.489,27.615,0.104
0,6.953,69.116,0.105,120,75.82,27.62,0.105
0,6.953,69.116,0.104,121,75.675,27.804,0.106
0,6.953,69.116,0.104,122,75.668,27.804,0.106
0,7.14,69.116,0.105,122,73.997,28.336,0.106
0,7.093,69.116,0.104,123,74.381,28.313,0.106
0,7.14,69.419,0.104,124,74.124,28.627,0.107
0,7.093,69.419,0.104,125,74.381,28.428,0.107
0,7.093,69.419,0.104,126,74.338,28.541,0.107
0,7.14,69.581,0.103,127,73.738,29.367,0.108
0,7.14,69.93,0.104,128,73.645,29.803,0.109
