bloqueo,entropia,msi,bfr,rutas,pathconsec,entropiauso,porcuso
0,0.023,0.07,0.0,1,350.871,0.0,0.0
0,0.116,0.442,0.0,2,349.823,0.0,0.002
0,0.116,0.674,0.0,3,349.426,0.0,0.002
0,0.209,0.767,0.0,4,349.005,0.0,0.003
0,0.302,1.14,0.0,5,347.715,0.0,0.004
0,0.372,1.419,0.0,6,346.828,0.0,0.005
0,0.465,2.186,0.001,7,339.99,0.0,0.007
0,0.605,3.093,0.002,8,323.9,0.076,0.008
0,0.698,3.884,0.003,9,311.747,0.126,0.009
0,0.791,4.349,0.003,10,310.491,0.227,0.011
0,0.837,4.744,0.003,11,303.208,0.236,0.012
0,0.884,5.186,0.003,12,295.448,0.334,0.013
0,1.023,6.349,0.005,13,283.497,0.545,0.015
0,1.047,6.349,0.005,14,283.401,0.61,0.015
0,1.116,6.349,0.005,15,283.312,0.616,0.015
0,1.116,6.419,0.005,16,283.218,0.623,0.015
0,1.209,7.721,0.007,17,276.728,0.704,0.017
0,1.256,7.767,0.007,18,275.241,0.705,0.017
0,1.256,7.977,0.007,19,274.965,0.725,0.018
0,1.395,8.767,0.009,20,262.34,0.841,0.018
0,1.442,9.814,0.01,21,258.588,0.966,0.02
0,1.488,10.488,0.011,22,255.322,1.172,0.021
0,1.488,10.605,0.011,23,255.081,1.205,0.022
0,1.581,11.814,0.013,24,247.514,1.385,0.023
0,1.674,12.442,0.013,25,236.415,1.522,0.025
0,1.767,12.628,0.013,26,236.216,1.55,0.026
0,1.814,13.349,0.013,27,231.338,1.69,0.027
0,1.953,14.163,0.014,28,228.621,1.793,0.029
0,2.14,15.395,0.017,29,221.799,2.262,0.03
0,2.14,15.395,0.016,30,221.748,2.274,0.031
0,2.186,15.814,0.017,31,220.619,2.47,0.031
0,2.279,16.442,0.018,31,219.79,2.684,0.032
0,2.372,18.907,0.023,32,209.282,3.163,0.034
0,2.465,19.233,0.023,33,206.332,3.166,0.035
0,2.465,19.558,0.023,34,205.81,3.303,0.036
0,2.465,19.744,0.023,35,205.411,3.303,0.037
0,2.465,20.023,0.023,36,205.28,3.343,0.037
0,2.465,20.023,0.023,37,205.26,3.343,0.038
0,2.512,20.023,0.023,38,205.203,3.352,0.038
0,2.488,20.023,0.023,39,206.578,3.351,0.038
0,2.488,20.023,0.022,40,206.534,3.364,0.038
0,2.674,22.953,0.029,41,199.837,3.743,0.04
0,2.721,22.953,0.028,42,199.622,4.012,0.041
0,2.814,23.302,0.029,43,198.817,4.081,0.041
0,2.814,23.302,0.029,44,198.573,4.171,0.041
0,2.837,23.442,0.029,45,198.123,4.341,0.042
0,2.837,23.442,0.028,46,197.912,4.549,0.043
0,2.884,23.744,0.028,47,197.574,4.765,0.044
0,2.93,23.744,0.027,48,196.522,5.058,0.044
0,3.07,24.86,0.028,49,191.053,5.71,0.047
0,3.093,25.07,0.03,47,181.656,5.773,0.045
0,3.233,25.674,0.031,48,179.201,6.385,0.046
0,3.233,25.86,0.031,49,178.665,6.511,0.047
0,3.279,26.093,0.031,50,175.586,6.573,0.048
0,3.302,26.093,0.03,51,175.398,6.828,0.048
0,3.395,26.535,0.03,52,172.29,6.924,0.049
0,3.488,26.535,0.03,53,170.055,7.23,0.049
0,3.581,27.395,0.031,54,167.252,7.838,0.051
0,3.581,27.395,0.031,55,167.224,7.838,0.051
0,3.581,27.488,0.031,56,167.192,7.838,0.052
0,3.628,27.814,0.031,57,165.547,7.858,0.052
0,3.535,27.814,0.03,58,167.412,7.652,0.053
0,3.535,28.0,0.03,59,167.038,7.791,0.054
0,3.721,29.744,0.033,60,158.821,8.494,0.056
0,3.767,29.977,0.033,61,152.997,9.002,0.057
0,3.767,30.302,0.033,62,152.635,9.369,0.058
0,3.767,30.581,0.033,63,152.447,9.369,0.058
0,3.767,30.86,0.033,64,152.306,9.495,0.059
0,3.86,32.116,0.035,65,148.86,9.924,0.061
0,3.86,32.116,0.035,66,148.802,9.989,0.061
0,4.047,33.326,0.039,66,142.425,10.061,0.061
0,4.093,34.07,0.039,67,141.155,10.536,0.063
0,4.14,34.14,0.039,68,136.719,10.595,0.063
0,4.163,34.14,0.039,69,136.677,10.738,0.063
0,4.209,34.279,0.038,70,135.608,10.818,0.064
0,4.163,34.279,0.038,71,135.777,10.838,0.065
0,4.209,34.279,0.037,72,134.461,11.118,0.065
0,4.302,34.488,0.037,73,133.719,11.527,0.066
0,4.349,34.884,0.038,74,132.779,11.894,0.067
0,4.488,35.395,0.039,74,131.364,12.19,0.067
0,4.512,35.558,0.039,75,131.107,12.232,0.068
0,4.605,35.558,0.038,76,128.656,12.501,0.069
0,4.651,35.791,0.038,77,126.391,12.596,0.069
0,4.698,36.953,0.04,78,125.683,13.115,0.07
0,4.698,36.953,0.04,79,125.602,13.14,0.071
0,4.791,38.047,0.042,80,124.52,13.831,0.072
0,4.884,39.442,0.044,81,119.885,14.02,0.074
0,5.023,41.674,0.049,82,117.824,14.863,0.075
0,5.023,41.721,0.049,83,117.784,14.863,0.075
0,5.163,41.953,0.051,82,117.898,14.778,0.075
0,5.116,41.953,0.05,83,117.987,14.753,0.075
0,5.163,41.953,0.05,84,117.139,14.939,0.076
0,5.186,41.953,0.049,85,117.021,15.215,0.076
0,5.233,42.907,0.052,86,115.771,15.558,0.077
0,5.465,45.558,0.059,87,108.503,16.204,0.077
0,5.465,45.721,0.059,88,108.067,16.315,0.078
